Process Memory Usage Report 2024-12-08 17:19:58
Top 5 Memory-Consuming Processes:
----------------------------------------
PID:  2774 | User: vornic     | Memory:  13.8% | CPU:  75.8% | Command: /usr/lib/firefox-developer-edition/firefox
PID: 34932 | User: vornic     | Memory:   0.6% | CPU:   0.0% | Command: /opt/visual-studio-code/code
PID: 46409 | User: vornic     | Memory:   0.5% | CPU:   2.4% | Command: /app/extra/share/spotify/spotify
PID: 31066 | User: vornic     | Memory:   0.5% | CPU:   0.0% | Command: /opt/visual-studio-code/code
PID:  2046 | User: vornic     | Memory:   0.5% | CPU:   0.0% | Command: /usr/bin/latte-dock
PID: 30663 | User: vornic     | Memory:   0.5% | CPU:   0.9% | Command: /opt/onlyoffice/desktopeditors/editors_helper
PID: 30697 | User: vornic     | Memory:   0.5% | CPU:   0.0% | Command: /opt/onlyoffice/desktopeditors/editors_helper
PID:  3511 | User: vornic     | Memory:   0.5% | CPU:   0.0% | Command: /usr/lib/firefox-developer-edition/firefox
PID: 52303 | User: vornic     | Memory:   0.5% | CPU:   0.0% | Command: /usr/lib/firefox-developer-edition/firefox
PID: 46432 | User: vornic     | Memory:   0.4% | CPU:   0.1% | Command: /app/extra/share/spotify/spotify
PID:  1837 | User: vornic     | Memory:   0.4% | CPU:   0.0% | Command: /usr/bin/kded6
PID: 31016 | User: vornic     | Memory:   0.4% | CPU:   0.0% | Command: /opt/visual-studio-code/code
PID: 31017 | User: vornic     | Memory:   0.4% | CPU:   0.0% | Command: /opt/visual-studio-code/code
PID:  2052 | User: vornic     | Memory:   0.4% | CPU:   0.0% | Command: /usr/bin/matray
PID:  2045 | User: vornic     | Memory:   0.4% | CPU:   0.0% | Command: /usr/bin/kdeconnectd
PID: 30694 | User: vornic     | Memory:   0.4% | CPU:   0.0% | Command: /opt/onlyoffice/desktopeditors/editors_helper
PID:  1693 | User: vornic     | Memory:   0.3% | CPU:   0.0% | Command: /usr/bin/kwalletd6
PID:  2075 | User: vornic     | Memory:   0.3% | CPU:   0.0% | Command: /usr/bin/pamac-tray-plasma
PID:  1914 | User: vornic     | Memory:   0.3% | CPU:   0.0% | Command: /usr/lib/org_kde_powerdevil
PID:  1912 | User: vornic     | Memory:   0.3% | CPU:   0.0% | Command: /usr/bin/kaccess
PID:  2044 | User: vornic     | Memory:   0.3% | CPU:   0.0% | Command: /usr/bin/msm_kde_notifier
PID:  1913 | User: vornic     | Memory:   0.3% | CPU:   0.0% | Command: /usr/lib/polkit-kde-authentication-agent-1
PID:  1835 | User: vornic     | Memory:   0.3% | CPU:   0.0% | Command: /usr/bin/ksmserver
PID: 52723 | User: vornic     | Memory:   0.3% | CPU:   0.1% | Command: /usr/lib/firefox-developer-edition/firefox
PID:  1909 | User: vornic     | Memory:   0.3% | CPU:   0.0% | Command: /usr/lib/kactivitymanagerd
PID:  1915 | User: vornic     | Memory:   0.3% | CPU:   0.0% | Command: /usr/lib/xdg-desktop-portal-kde
PID: 52892 | User: vornic     | Memory:   0.3% | CPU:   0.2% | Command: /usr/lib/firefox-developer-edition/firefox
PID: 52561 | User: vornic     | Memory:   0.3% | CPU:   0.0% | Command: /usr/lib/firefox-developer-edition/firefox
PID:  1765 | User: vornic     | Memory:   0.3% | CPU:   0.0% | Command: /usr/lib/kglobalacceld
PID: 30649 | User: vornic     | Memory:   0.3% | CPU:   0.0% | Command: /opt/onlyoffice/desktopeditors/editors_helper
PID: 30648 | User: vornic     | Memory:   0.3% | CPU:   0.0% | Command: /opt/onlyoffice/desktopeditors/editors_helper
PID: 46394 | User: vornic     | Memory:   0.3% | CPU:   0.0% | Command: /app/extra/share/spotify/spotify
PID: 46393 | User: vornic     | Memory:   0.3% | CPU:   0.0% | Command: /app/extra/share/spotify/spotify
PID:  1911 | User: vornic     | Memory:   0.2% | CPU:   0.0% | Command: /usr/bin/gmenudbusmenuproxy
PID:  1916 | User: vornic     | Memory:   0.2% | CPU:   0.0% | Command: /usr/bin/xembedsniproxy
PID:  2721 | User: vornic     | Memory:   0.2% | CPU:   0.0% | Command: /usr/lib/firefox-developer-edition/firefox
PID:  2394 | User: vornic     | Memory:   0.2% | CPU:   0.0% | Command: /usr/lib/firefox-developer-edition/firefox
PID: 34842 | User: vornic     | Memory:   0.2% | CPU:   0.6% | Command: /home/vornic/.vscode/extensions/ms-vscode.cpptools-1.23.2-linux-x64/bin/cpptools
PID:  1678 | User: vornic     | Memory:   0.1% | CPU:   0.2% | Command: /usr/bin/pipewire-pulse
PID:  1019 | User: root       | Memory:   0.1% | CPU:   0.0% | Command: /usr/bin/dockerd
PID: 30689 | User: vornic     | Memory:   0.1% | CPU:   0.0% | Command: /opt/onlyoffice/desktopeditors/editors_helper
PID:  1023 | User: postgres   | Memory:   0.1% | CPU:   0.0% | Command: /usr/bin/postgres
PID:  1677 | User: vornic     | Memory:   0.1% | CPU:   0.2% | Command: /usr/bin/pipewire-media-session
PID: 46427 | User: vornic     | Memory:   0.1% | CPU:   0.0% | Command: /app/extra/share/spotify/spotify
